UPI Banks,Volume (Mn) By Costumers,Value (Cr) by Costumers,Volume (Mn),Value (Cr),Month,Year
Karnataka Bank App,0.12,20.89,0.12,20.89,3,2021
Karnataka Bank App,0.09,16.41,0.09,16.41,2,2021
Karnataka Bank App,0.07,15.35,0.07,15.35,1,2021
Karur Vysya Bank App,0.04,17.44,0.04,17.44,12,2021
Karur Vysya Bank App,0.03,15.46,0.03,15.46,11,2021
Karur Vysya Bank App,0.03,15.4,0.03,15.4,10,2021
Karur Vysya Bank App,0.03,14.14,0.03,14.14,9,2021
Karur Vysya Bank App,0.03,15.25,0.03,15.25,8,2021
Karur Vysya Bank App,0.03,14.6,0.03,14.6,7,2021
Karur Vysya Bank App,0.03,12.59,0.03,12.59,6,2021
Karur Vysya Bank App,0.02,11.59,0.02,11.59,5,2021
Karur Vysya Bank App,0.03,13.08,0.03,13.08,4,2021
Karur Vysya Bank App,0.03,15.14,0.03,15.14,3,2021
Karur Vysya Bank App,0.03,13.87,0.03,13.87,2,2021
Karur Vysya Bank App,0.03,13.14,0.03,13.14,1,2021
Khalijeb,0.02,2.49,0.02,2.49,1,2021
Kotak Mahindra Bank Apps,6.39,1168.93,6.39,1168.93,12,2021
Kotak Mahindra Bank Apps,5.78,1035.67,5.78,1035.67,11,2021
Kotak Mahindra Bank Apps,5.38,944.5,5.38,944.5,10,2021
Kotak Mahindra Bank Apps,4.31,771.05,4.31,771.05,9,2021
Kotak Mahindra Bank Apps,3.98,723.21,3.98,723.21,8,2021
Kotak Mahindra Bank Apps,3.46,642.53,3.46,642.53,7,2021
Kotak Mahindra Bank Apps,2.8,535.98,2.8,535.98,6,2021
Kotak Mahindra Bank Apps,2.37,427.4,2.37,427.4,5,2021
Kotak Mahindra Bank Apps,2.13,381.37,2.13,381.37,4,2021
Kotak Mahindra Bank Apps,2.26,397.99,2.26,397.99,3,2021
Kotak Mahindra Bank Apps,1.95,347.66,1.95,347.66,2,2021
Kotak Mahindra Bank Apps,1.88,343.38,1.88,343.38,1,2021
MakeMy Trip,0.07,22.3,0.07,22.3,12,2021
MakeMy Trip,0.12,45.04,0.12,45.04,11,2021
MakeMy Trip,0.13,48.4,0.13,48.4,10,2021
MakeMy Trip,0.08,25.67,0.08,25.67,9,2021
MakeMy Trip,0.08,25.28,0.08,25.28,8,2021
MakeMy Trip,0.08,29.31,0.08,29.31,7,2021
MakeMy Trip,0.06,22.16,0.06,22.16,6,2021
MakeMy Trip,0.03,11.47,0.03,11.47,5,2021
MakeMy Trip,0.08,26.08,0.08,26.08,4,2021
MakeMy Trip,0.09,31.2,0.09,31.2,3,2021
MakeMy Trip,0.12,44.08,0.12,44.08,2,2021
MakeMy Trip,0.01,3.95,0.01,3.95,1,2021
MI Pay,0.31,43.97,0.31,43.97,12,2021
MI Pay,0.33,47.27,0.33,47.27,11,2021
MI Pay,0.37,54.77,0.37,54.77,10,2021
MI Pay,0.36,51.29,0.36,51.29,9,2021
MI Pay,0.34,50.26,0.34,50.26,8,2021
MI Pay,0.34,53.34,0.34,53.34,7,2021
MI Pay,0.36,56.69,0.36,56.69,6,2021
MI Pay,0.37,55.17,0.37,55.17,5,2021
MI Pay,0.38,58.08,0.38,58.08,4,2021
MI Pay,0.42,64.65,0.42,64.65,3,2021
MI Pay,0.4,59.91,0.4,59.91,2,2021
MI Pay,0.44,62.81,0.44,62.81,1,2021
